date,Bottom quintile,Top quintile,Total,HICP,Country,Bottom quartile,Top quartile
May-20,-1.062904148421923,-0.6686517127620528,-0.8024258763822052,-1.587301587301582,LU,,
Jun-20,-0.3158963227694355,-0.03136362782221258,-0.1039381830358996,-0.3675431156347164,LU,,
Jul-20,0.01003059648627935,0.3565594322552295,0.2629108487159183,0.09496676163343043,LU,,
Aug-20,-0.2659705430054011,-0.01199515186373291,-0.0809704137746391,-0.1877229209686582,LU,,
Sep-20,-0.4306940945725916,-0.2334343902986807,-0.2682626087845582,-0.3474178403755857,LU,,
Oct-20,-0.6088873615620429,-0.3931285821786698,-0.405949609855577,-0.4224162207828841,LU,,
Nov-20,-0.7519564682875892,-0.7169530403657566,-0.6397330632018242,-0.6569069069069067,LU,,
Dec-20,-0.5371991788684434,-0.4157850097442957,-0.3852276531771293,-0.3374578177727905,LU,,
Jan-21,0.7265991012276046,1.513552350694483,1.253237577232377,1.054514640805948,LU,,
Feb-21,-0.5543870037383846,-1.373860043996563,-0.8998261475698229,-0.540792540792534,LU,,
Mar-21,1.880298308345882,1.778790948998968,1.843264916311199,2.453061609585827,LU,,
Apr-21,2.610064727349132,2.274658313001407,2.471963355192529,3.292102759276894,LU,,
May-21,3.327124738743377,3.01488607446865,3.18295560513288,4.046573773620921,LU,,
Jun-21,2.860986615957819,2.532871718117184,2.69969165777738,3.433598183881958,LU,,
Jul-21,2.863552306555027,2.428385880976755,2.658309716998833,3.339658444022775,LU,,
Aug-21,3.169019734683427,2.880316468996281,3.045915921600335,3.517020876434085,LU,,
Sep-21,3.638856633666358,3.451343938612755,3.552448203704779,4.023367568076908,LU,,
Oct-21,4.871614761526878,4.675950463583551,4.805304889443232,5.345022624434392,LU,,
Nov-21,5.802261600047478,5.607334515446833,5.764617227550191,6.329113924050644,LU,,
Dec-21,5.084709882835041,4.979481485258633,5.084929638309088,5.445823927765248,LU,,
Jan-22,4.564038910263738,3.755128096710981,4.206320483137449,4.630578589397194,LU,,
Feb-22,7.01793212183882,7.729263246601768,7.49483217879617,7.790381550576542,LU,,
Mar-22,6.884697344654668,6.937383947894948,7.001590137704325,7.947324799705302,LU,,
Apr-22,7.736325569753866,8.238460483341099,8.11379321573266,8.962785556374353,LU,,
May-22,7.235197338772197,7.986121920553425,7.707742434300786,9.108420473307666,LU,,
Jun-22,8.10262845174822,9.143328487095147,8.729456913140982,10.33379058070416,LU,,
Jul-22,7.457759871358707,8.7834779487068,8.215322809251786,9.291222915901587,LU,,
Aug-22,7.003007735196189,8.38612335392718,7.79810642785504,8.59375,LU,,
Sep-22,7.226590426540222,8.255384174853768,7.858670199618782,8.831521739130444,LU,,
Oct-22,7.185691151129246,8.010058322463882,7.701259755227825,8.832214765100677,LU,,
Nov-22,5.733656812261041,6.295729551295106,6.088087441095807,7.311656005685863,LU,,
Dec-22,5.296914286793029,5.883197941352843,5.67777223505488,6.226028008206219,LU,,
Jan-23,4.782448207971913,5.756557079675474,5.33262248543403,5.770258236865544,LU,,
Feb-23,4.024336792732428,4.913697739899333,4.532152531258125,4.757349104192032,LU,,
Mar-23,3.002152925918737,3.690246572938712,3.419048237608405,2.943183757038059,LU,,
Apr-23,2.87419746835074,3.845285944659414,3.382750803005233,2.71366979457266,LU,,
May-23,2.672295198206581,3.658710879206054,3.195357036245595,1.950399327448493,LU,,
Jun-23,2.141018814680541,3.018290710641989,2.614525723453233,0.9614587650227824,LU,,
Jul-23,2.385006378772627,3.48032202991231,2.935684564983146,2.032930107526876,LU,,
Aug-23,3.18737964799455,4.00715792512722,3.600867256052206,3.521833695834031,LU,,
Sep-23,2.928208401389147,3.881876923035651,3.427866300255911,3.379109446525175,LU,,
Oct-23,2.041765904179373,3.030066517297623,2.530219934248263,2.055582963328395,LU,,
Nov-23,2.159582737724376,3.232248696175371,2.696142589501403,2.127659574468077,LU,,
Dec-23,2.434008014778454,3.353500311883444,2.86221654779386,3.157276009740517,LU,,
Jan-19,3.382639738723674,2.254510753232006,2.736642763307006,2.937481882307469,LV,,
Feb-19,3.053681006870237,2.163644885727089,2.523180811526538,2.815271885846515,LV,,
Mar-19,3.093583940392467,2.127653879823509,2.556947556073164,2.655625356938884,LV,,
Apr-19,3.792217451043202,2.680717883023851,3.201000928789992,3.331751305173247,LV,,
May-19,3.635910853291656,2.826942375346492,3.159015973376592,3.496173107814426,LV,,
Jun-19,3.460888579530241,2.502681075284402,2.910660292241796,3.058448259686641,LV,,
Jul-19,3.118384349675487,2.471938293985915,2.740077648684942,2.969267139479914,LV,,
Aug-19,3.375475911350147,2.619131021598503,2.924283990723632,3.119682359614284,LV,,
Sep-19,2.766863951908596,2.172672875327452,2.403651161342464,2.320556181886513,LV,,
Oct-19,2.634830096390696,1.785468711851535,2.118509548725875,2.163934426229508,LV,,
Nov-19,2.587754516177812,1.690486153359714,2.041265068126742,1.979919301867339,LV,,
Dec-19,2.49807674076863,1.835226549820167,2.102585795363149,2.137275209490652,LV,,
Jan-20,1.884873273133091,1.969390121938846,1.984766114367883,2.177790293813953,LV,,
Feb-20,2.349115876362212,2.047930412142533,2.236018510141385,2.25056264066017,LV,,
Mar-20,1.808520998370088,1.285522956461015,1.537027968665472,1.390820584144636,LV,,
Apr-20,0.8794610154239737,-0.2300528869369854,0.2363864142479477,-0.0734888848061721,LV,,
May-20,0.3869670557367818,-1.096683998110392,-0.4564275617880802,-0.9403816306034929,LV,,
Jun-20,-0.2706582319580172,-1.028127833983365,-0.6963521006346012,-1.065088757396437,LV,,
Jul-20,0.6770028490876997,0.1284278188539101,0.3871223511010373,0.0918357975938866,LV,,
Aug-20,-0.2226676192722961,-0.3097421463913281,-0.2475023773039157,-0.5042170883755026,LV,,
Sep-20,-0.2938773430967836,-0.3875038876319534,-0.328995417931687,-0.4223670920943889,LV,,
Oct-20,-0.7940459363185687,-0.6364162813602652,-0.7170900285392827,-0.6785255822483127,LV,,
Nov-20,-0.5745450308241093,-0.7327840800968638,-0.6813247462911662,-0.6532940743467108,LV,,
Dec-20,-0.5051680187904053,-0.5642124826652829,-0.5600907874773775,-0.4885693215339271,LV,,
Jan-21,-0.7108624756649139,-0.5875744390108547,-0.6939838262629858,-0.4501607717041778,LV,,
Feb-21,-0.7554786155385893,-0.3288289510738082,-0.55221850109079,-0.1925898752751398,LV,,
Mar-21,-0.6004240122656095,0.1713962030632652,-0.1582438875851871,0.2834933699131348,LV,,
Apr-21,0.5827018262135278,1.844286805579369,1.350423163152488,1.71906600478029,LV,,
May-21,1.342814659008949,2.702375525755721,2.193231557606455,2.55299539170506,LV,,
Jun-21,1.793844374321657,2.835734048351496,2.427266530727096,2.686786897313209,LV,,
Jul-21,2.400896473069296,2.83118566693132,2.641575684332902,2.798421873566403,LV,,
Aug-21,3.649415576632576,3.519026415322058,3.557562514350236,3.621118584723115,LV,,
