Country,date,coicop,value,diff
AT,Apr-19,"Water, electricity, gas and other fuels",0.1274540966610312,0.3141472610619491
AT,May-19,"Alcoholic beverages, tobacco and narcotics",0.0209754355784571,0.4779006273311577
AT,May-19,Clothing and footwear,-0.0135244505018554,0.4779006273311577
AT,May-19,Food and non-alcoholic beverages,0.0356699069628352,0.4779006273311577
AT,May-19,Housing (rentals and repairs),0.3705570019158387,0.4779006273311577
AT,May-19,Other,0.0140256781256074,0.4779006273311577
AT,May-19,Transport,-0.0656484787720693,0.4779006273311577
AT,May-19,"Water, electricity, gas and other fuels",0.1158455340223436,0.4779006273311577
AT,Jun-19,"Alcoholic beverages, tobacco and narcotics",0.0013603492033816,0.4218841106962288
AT,Jun-19,Clothing and footwear,0.0149552012865894,0.4218841106962288
AT,Jun-19,Food and non-alcoholic beverages,0.0314285125285846,0.4218841106962288
AT,Jun-19,Housing (rentals and repairs),0.3702516339236254,0.4218841106962288
AT,Jun-19,Other,-0.0660561888396208,0.4218841106962288
AT,Jun-19,Transport,-0.050514229708132,0.4218841106962288
AT,Jun-19,"Water, electricity, gas and other fuels",0.1204588323018006,0.4218841106962288
AT,Jul-19,"Alcoholic beverages, tobacco and narcotics",0.0011824352107313,0.4247778649089909
AT,Jul-19,Clothing and footwear,-0.0064123103785825,0.4247778649089909
AT,Jul-19,Food and non-alcoholic beverages,0.0419150897032067,0.4247778649089909
AT,Jul-19,Housing (rentals and repairs),0.3679317662283329,0.4247778649089909
AT,Jul-19,Other,0.0040849784080043,0.4247778649089909
AT,Jul-19,Transport,-0.0967384799574851,0.4247778649089909
AT,Jul-19,"Water, electricity, gas and other fuels",0.1128143856947832,0.4247778649089909
AT,Aug-19,"Alcoholic beverages, tobacco and narcotics",0.0019495324144711,0.422916662956049
AT,Aug-19,Clothing and footwear,-0.0324322237026405,0.422916662956049
AT,Aug-19,Food and non-alcoholic beverages,0.056196655950224,0.422916662956049
AT,Aug-19,Housing (rentals and repairs),0.3281067678280392,0.422916662956049
AT,Aug-19,Other,-0.0141635118899172,0.422916662956049
AT,Aug-19,Transport,-0.0432396538950083,0.422916662956049
AT,Aug-19,"Water, electricity, gas and other fuels",0.1264990962508805,0.422916662956049
AT,Sep-19,"Alcoholic beverages, tobacco and narcotics",0.0009044385316204,0.4179788060827152
AT,Sep-19,Clothing and footwear,-0.0138692506743516,0.4179788060827152
AT,Sep-19,Food and non-alcoholic beverages,0.0283607739747379,0.4179788060827152
AT,Sep-19,Housing (rentals and repairs),0.2885584058045595,0.4179788060827152
AT,Sep-19,Other,-0.022664482865565,0.4179788060827152
AT,Sep-19,Transport,0.0107817729410139,0.4179788060827152
AT,Sep-19,"Water, electricity, gas and other fuels",0.1259071483707002,0.4179788060827152
AT,Oct-19,"Alcoholic beverages, tobacco and narcotics",0.0012341111471448,0.1909610759982497
AT,Oct-19,Clothing and footwear,-0.0203667509627179,0.1909610759982497
AT,Oct-19,Food and non-alcoholic beverages,0.0232434025532928,0.1909610759982497
AT,Oct-19,Housing (rentals and repairs),0.2492838077354488,0.1909610759982497
AT,Oct-19,Other,-0.1935792200189313,0.1909610759982497
AT,Oct-19,Transport,0.06403828353116,0.1909610759982497
AT,Oct-19,"Water, electricity, gas and other fuels",0.0671074420128524,0.1909610759982497
AT,Nov-19,"Alcoholic beverages, tobacco and narcotics",-0.0001227516599273,0.2209815869726856
AT,Nov-19,Clothing and footwear,-0.0087286714998622,0.2209815869726856
AT,Nov-19,Food and non-alcoholic beverages,0.0153881984977494,0.2209815869726856
AT,Nov-19,Housing (rentals and repairs),0.2684597795541631,0.2209815869726856
AT,Nov-19,Other,-0.1370456688873791,0.2209815869726856
AT,Nov-19,Transport,0.0346011170058164,0.2209815869726856
AT,Nov-19,"Water, electricity, gas and other fuels",0.0484295839621254,0.2209815869726856
AT,Dec-19,"Alcoholic beverages, tobacco and narcotics",0.0012268585031214,-0.0112006454718793
AT,Dec-19,Clothing and footwear,-0.0179475376517904,-0.0112006454718793
AT,Dec-19,Food and non-alcoholic beverages,0.0332174440029211,-0.0112006454718793
AT,Dec-19,Housing (rentals and repairs),0.2865678198266052,-0.0112006454718793
AT,Dec-19,Other,-0.4239882378951411,-0.0112006454718793
AT,Dec-19,Transport,0.003262463994731,-0.0112006454718793
AT,Dec-19,"Water, electricity, gas and other fuels",0.1064605437476735,-0.0112006454718793
AT,Jan-20,"Alcoholic beverages, tobacco and narcotics",-0.0023788742038726,0.0308533626506859
AT,Jan-20,Clothing and footwear,-0.0260773015851686,0.0308533626506859
AT,Jan-20,Food and non-alcoholic beverages,0.0427632265215492,0.0308533626506859
AT,Jan-20,Housing (rentals and repairs),0.3056152149959573,0.0308533626506859
AT,Jan-20,Other,-0.2717173346911517,0.0308533626506859
AT,Jan-20,Transport,-0.1585737656573997,0.0308533626506859
AT,Jan-20,"Water, electricity, gas and other fuels",0.1412221972707719,0.0308533626506859
AT,Feb-20,"Alcoholic beverages, tobacco and narcotics",-0.0036703776888865,-0.0472149150684257
AT,Feb-20,Clothing and footwear,-0.0159524349561655,-0.0472149150684257
AT,Feb-20,Food and non-alcoholic beverages,0.0657790318935527,-0.0472149150684257
AT,Feb-20,Housing (rentals and repairs),0.3235955166574816,-0.0472149150684257
AT,Feb-20,Other,-0.3636081851821457,-0.0472149150684257
AT,Feb-20,Transport,-0.1522509718587926,-0.0472149150684257
AT,Feb-20,"Water, electricity, gas and other fuels",0.0988925060665307,-0.0472149150684257
AT,Mar-20,"Alcoholic beverages, tobacco and narcotics",-0.0008941697255531,0.1786217717639829
